Project Name,Transacted Price ($),Area (SQFT),Unit Price ($ PSF),Sale Date,Street Name,Type of Sale,Type of Area,Area (SQM),Unit Price ($ PSM),Nett Price($),Property Type,Number of Units,Tenure,Postal District,Market Segment,Floor Level
TEMBUSU GRAND,"4,124,000","1,711.48","2,410",Jun-25,JALAN TEMBUSU,New Sale,Strata,159,"25,937",-,Condominium,1,99 yrs lease commencing from 2022,15,Rest of Central Region,06 to 10
PRINCIPAL GARDEN,"1,820,000",807.3,"2,254",Jun-25,PRINCE CHARLES CRESCENT,Resale,Strata,75,"24,267",-,Condominium,1,99 yrs lease commencing from 2014,03,Rest of Central Region,21 to 25
FOREST WOODS,"2,042,888",914.94,"2,233",Jun-25,LORONG LEW LIAN,Resale,Strata,85,"24,034",-,Condominium,1,99 yrs lease commencing from 2016,19,Outside Central Region,06 to 10
SEASIDE RESIDENCES,"1,898,888",785.77,"2,417",Jun-25,SIGLAP LINK,Resale,Strata,73,"26,012",-,Apartment,1,99 yrs lease commencing from 2016,15,Outside Central Region,06 to 10
DAINTREE RESIDENCE,"1,600,000",775.01,"2,064",Jun-25,TOH TUCK ROAD,Resale,Strata,72,"22,222",-,Condominium,1,99 yrs lease commencing from 2017,21,Rest of Central Region,01 to 05
THE WATERLINE,"1,400,000",882.65,"1,586",Jun-25,POH HUAT ROAD WEST,Resale,Strata,82,"17,073",-,Condominium,1,Freehold,19,Outside Central Region,01 to 05
THE SANTORINI,"1,045,000",731.95,"1,428",Jun-25,TAMPINES STREET 86,Resale,Strata,68,"15,368",-,Condominium,1,99 yrs lease commencing from 2013,18,Outside Central Region,01 to 05
L'VIV,"2,230,000","1,001.05","2,228",Jun-25,NEWTON ROAD,Resale,Strata,93,"23,978",-,Apartment,1,Freehold,11,Core Central Region,06 to 10
VERTICUS,"1,700,000",753.48,"2,256",Jun-25,JALAN KEMAMAN,Resale,Strata,70,"24,286",-,Apartment,1,Freehold,12,Rest of Central Region,06 to 10
COCO PALMS,"1,620,000",904.18,"1,792",Jun-25,PASIR RIS GROVE,Resale,Strata,84,"19,286",-,Condominium,1,99 yrs lease commencing from 2008,18,Outside Central Region,11 to 15
